Food Item,Serving size,Oxalate Value
tomato juice,1 cup,14mg
tomato sauce,1/2 cup,17mg
tortilla corn chips,1 oz,7mg
"tortillas, corn",1 tortilla,7mg
"tortillas, flour",1 tortilla,8mg
total corn flakes,1 1/3 cup,5mg
total raisin bran,1 cup,31mg
trail mix,1 oz,15mg
triscuits,1 cracker,1mg
trix,1 cup,0mg
tuna fish (in oil),3.5 oz,0mg
tuna fish (in water),3.5oz,0mg
tuna salad,1 cup,6mg
turkey,5 oz,0mg
turkey dogs,1 dog,3mg
turnip,1/2 cup mashed,30mg
uncle sam,1 cup,11mg
v8 juice,1 cup,18mg
vanilla pudding,1 cup,1mg
vegetable beef soup,1 cup,5mg
veggie burger,1 pattie,24mg
venison,3 oz,0mg
wafflecrisp,1 cup,1mg
walnuts,1 cup or 7 nuts,31mg
water,8 oz,0mg
waterchestnuts,4 waterchestnuts,0mg
watermelon,1 slice,1mg
wheat berries,1 cup cooked,98mg
wheat bran bread,1 slice,7mg
wheat chex,1 cup,7mg
wheat crackers,1 cracker,1mg
"wheat flour, whole grain",1 cup,29mg
"wheat thins, reduced fat",1 cracker,1mg
wheaties,1 cup,8mg
wheaties raisin bran,1 cup,11mg
wheetabix whole wheat,2 biscuits,8mg
whipped cream,2 Tbs,0mg
whipped topping,2 Tbs,0mg
white bread,1 slice,5mg
white rice flour,1 cup,11mg
white rice flour,1 cup,11mg
"white rice, cooked",1 cup,4mg
white wine,4 oz,0mg
whiting,3 oz,0mg
whole grain total,3/4 cup,8mg
whole milk,1 cup,1mg
whole oat bread,1 slice,5mg
whole wheat bread,1 slice,6mg
wild game meat,3 oz,1mg
yams,"1/2 cup, cubed",40mg
yellow squash,1/2 cup,4mg
yogurt with fruit,8 oz,1mg
zucchini,1/2 cup,1mg
